comment,label
"Áo đẹp lắm nhá lần sau sẽ ghé tiếp ạ","POS"
"Eo ơi thề Áo Đẹp vãi với cả giá này không còn gì để chê shipper thì thân thiện nhiệt tình đánh giá shop năm sao luôn ạ","POS"
"Áo đẹp lắm ạ mua có 35k một áo quá hời luôn ạ không ngờ lại đẹp đến v lần sau ủng hộ shop tiếp","POS"
"Tôi m52 mặc size L vừa người in lun , không rộng đâu, vải mát, màu đẹp ,nên mua","POS"
"Nên mua nha bây , t mua ở shop này là lần thứ 2rồi ocee lắm ắ , nên muaaaa nhaaaa","POS"
"Áo rất đẹp và giống trong ảnh , đẹp , mọi người nên mua ạ","POS"
"Mình đã nhập ở đây thay nhập sỉ chỗ khác giá cả ở đây cũng rẻ","NEU"
"Giao hàng nhanh, chất lượng tốt, vải dày dặn thoáng mát. Hơi buồn vì nghĩ áo in hình nổi giống ảnh nhưng không 🥲","NEU"
"Tất cả học sinh tiêm Mũi 1 bằng vắc xin Pfizer vào ngày 20/6 và 08/07 mà chưa  tiêm Mũi 2 thì báo cho cô chủ nhiệm chậm nhất 21h 30 tối nay ngày 15/8/2022 để trạm y tế bố trí tiêm vét.","NEU"
"áo đúng đẹp luôn ấy mn ạ chất vải mát không nóng fomm đúng đẹp lắm luôn","POS"
"😀 Dự là nổ đơn ầm ầm lun nè","POS"
"Sản phẩm ổn so với giá đặt qua live, vải bình thường, không bị nóng, hình in chìm,  áo to.nhỏ hơn xíu thì mặc đẹp so với dáng mình.","NEU"
"đc nha ae hh mua dhop này là uy tín nha lại còn rẻ nưa nói chung là 100000 điểm -))","POS"
"Hàng đẹp lắm à dày dặn và đẹp em sẽ mua hàng của shop nhiều hơn ạ","POS"
"Sản phẩm áo phù hợp với giá tiền, săn sale nên dc giá tốt, cho shop 5sao và sẽ ủng hộ lại, mọi người nên mua ah, chất liệu cũng được, mặc đúng form , áo đang hot hit labubu labubu nâu","POS"
"Okkk","NEU"
"Hàng rất đẹp chất liệu ổn lắm rất xinh luôn ","POS"
"Hàng giao về cũng nhanh 3 4 ngày đã về rồi mà khi hàng về ko ưng lắm tại vì nhìn trên hình thì nó đẹp mà khi hàng về đến tay ko đc đẹp như trên hình mà cũng không phải là xấu lắm nói trung là tạm được","NEU"
"phần nơ áo màu hơi đậm so với ảnh 1 xíu  còn phần chữ in thì có vài chỗ in ko đều, có khá nhiruf chỉ thừa, chất mỏng mặc hơi dễ lộ, nhưng giá rẻ chỉ có thế thôi nên vẫn cứ mua nhe, tui mua lần 2 rui á","NEU"
"Hàng đúng Mô tả Hàng ok So với tầm giá giống như áo 35k ở ngoài chợ nhìn trên hình thì đẹp ở ngoài thì cũng giống như hàng chợ thôi nhưng giá 35k thì không đòi hỏi nhiều được đóng gói kỹ lớn Super nhiệt tình","NEU"
"sp đẹp , áo dày dặn , nên mua ","POS"
"Đóng gói rất là kĩ càng, vận chuyển hàng nhanh, chất lượng đúng với giá tiền","POS"
"10 đỉmm","POS"
"Shop đóng hàng cẩn thận, shipper giao hàng nhanh săn sale nên rất rẻ nhìn tổng quan rất ok hàng đẹp lắm nha mn nên mua nhé","POS"
"Những số đo ở dưới là mình đưa bừa nên mọi người đừng tin nha giao hàng nhanh mình mua hai lần rồi đẹp","NEU"
"Cũng tạm dc","NEU"
"Chất liệu đúng như mô tả mạc mát ,khỏi phải bàn.ns chúng là 10 đ","POS"
"Vải thun cotton su vải vừa HK bị quá mỏng áo in đẹp giao đủ giá đó thì áo quá ô kê","NEU"
"Hàng đẹp, tốt, giá rẻ mọi người nên mua thử nhé ","POS"
"Hàng đẹp mà lại rẻ","POS"
"Đẹp vải mát thích hợp vs mùa hè này cám ơn shop  nhưng mà lỡ đặt cái size nhỏ cũng kh phải nhỏ hay chật mà h mới thấy tay áo nó dài🐒 🔥🔥","NEU"
"To quá mk định hoàn lại nhg lại nghĩ mặc dáng rộng cũng dk nhg to quá k đẹp giá rẻ","NEU"
"Chất lượng quá lớn","NEG"
"Giao nhanh giá rẻ cổ hơi xấu hơi bó áo rộng phù hợp giá tiền vải dày dặn","NEU"
"Sản phẩm rất chất lượng, đáng giá với giá tiền.","POS"
"Hàng đẹp  hơi rộng nhưng ko sao hàng rất ok nha mn nên mua uh shop nhé","POS"
"Áo siêu siêu đẹp luôn ấy ","POS"
"Áo đúng như ảnh nhưng chất lượng thì đúng theo với giá tiền, nên ko bàn luận gì thêm","NEU"
"giao hàng nhanh .nhận hàng ưng ý.chất vải dày dặn .với giá này thì quá ok","POS"
"𝐂𝐮̛́ 𝐃𝐮̀𝐧𝐠 𝟏 𝐡𝐨̣̂𝐩 𝐥𝐚̀ 𝐭𝐮̛̣ 𝐝𝐮̛𝐧𝐠 ...","NEU"
"Vải mỏng, chất khá nóng. Nhưng phù hợp giá bán","NEU"
"Áo này hơi mỏng , nhưg shipper thân thiện  bị tuộc vài sợi chỉ ra nx nhưg mua với giá này cũng oki ạ","NEU"
"Màu đen mềm hơn màu đỏ😃","NEU"
"Ok phù hợp giá tiền nha , nên muaaaaaaa….nẹdgsyysvsdghđbdbbđhxjịccbdr bchx","NEU"
"Đẹp,mát 1000 đỉm nên mua, may nơ đẹp","POS"
"Vải mỏng nhưng k có chỉ thừa mặc mát và rất ok giá này khá rẻ 👍👍👍","POS"
"EM TRAI PHI CÔNG CỠ NÀY BẢO SAO CÁC CHỊ CỨ HỎI CÓ LÁI MÁY BAY TƯ NHÂN KHÔNG 🤣🤣","NEU"
"Sddj","NEU"
"Giao hàng cũng lâu  nhưng mà chất vải mỏng mát tốt nha mn .","NEU"
"Áo đẹp lắm mn ạ  mn nên mua thử nha tui thấy siu đẹp nên e cho shop này 5 sao nhaaaa","POS"
"Hàng giao nhanh shiper thân thiện đây là lần t2 mua ở shop r","POS"
"JJ vlvlcvhcvhgvv","NEU"    
"Áo ko quá mỏng hàng giao nhanh đúng nha chất vải cũng oce lắm với giá mà mình mua thì áo này đc lắm luôn đẹp shopp uy tín lắm mng nên mua nha , ủng hộ shop lâu dài , nhưng ở phần in vàng có dính ít màu đen li ti giá này quá hợp lí luôn nên thấy oce lắm nhưng mà áo mặc nóng lắm","NEU"
"cho 5 sao vì nó giống hình trên mẫu, htrc mua shop khác mà màu nó ko đẹp nm lần này mua áo Paris ở shop này nó đẹp tht","POS"
"Áo cưc kì là đẹppp và rất là xinhh nữa và con mát và thoải mái nữa chứ","POS"
"Xinh xinh quá em quên ko mang hàng đến tận bây chừ một mình à c có một người bạn anh em thấy","NEU"
"Mọi người nên mua nha sản phẩm hợp với giá tiền","POS"
"Shop giao hàng nhanh , đóng gói cẩn thận , lưng quần làm cao lên 3 phân là đẹp","POS"
"Áo đẹp lắm luôn , giao nhanh , nhưng có 1 lỗi nhỏ cái nơ hai bên trong hình mẫu là màu hồng nhạt mà mua về là màu hồng cánh sen","NEU"
"Áo thun form rộng mặc thoải mái,mát mẻ,chất liệu cũng OK màu sắc tui chọn màu đỏ đẹp nha phối đồ đẹp,mọi người nên mua.","POS"
"Đúng mẫu nhg hơi mỏng nhg với giá rẻ như vậy thì ko còn gì để chê","POS"
"đúng nha các bạn nên mua mặc mát đẹp giá cũng rất chi là âu kê","POS"
"Giao hàng nhanh chất lượng vải tốt đóng gói cẩn thận rất ưng nên mua ủng hộ shop","POS"
"Mọi người lên mua nha chất liệu rất chi là tối phù hợp với tiền đã trả nên ok","POS"
"Chất lượng tốt , giao hàng nhanh , giá hợp lý","POS"
"Đẹp đẹp đẹp giá rất tốt mọi người nên mua","POS"
"Sản phẩm phù hợp với giá tiền , giao hàng nhanh","POS"
"Vải khá mỏng nhưng với giá này thì rất hợp lý","NEU"
"Áo đẹp , chất ok","POS"
